"State","Hospital.name","Establishment.ID","Medicare.Provider.No.","Local.Hospital.Network.identifier","Local.Hospital.Network","Address.Line.1","Address.Line.2","asgc_ra","Remoteness.area","Number.of.available.beds","X2012.13.Peer.Group.code","Peer.Group.Name","Provided.data.for.NPHED","Provided.data.for.NHMD","Provided.data.for.NAPEDCD","Provided.data.for.ESWT","Provided.data.for.NNAPCD","IHPA.funding.designation","full_address","lat","lon","geo_address"
"NSW","Barham Koondrook","1184M2030","0010610A",114,"Murrumbidgee","70 Punt                                          Rd","Barham                                                 2732",2,"Outer Regional",6,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","70 Punt Rd Barham 2732",-35.6255022,144.1340296,"70 punt rd, barham nsw 2732, australia"
"NSW","Barraba (MPS)","1180J2020","0010620Y",109,"Hunter New England","1 Edward                                        St","Barraba                                                2347",2,"Outer Regional",22,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","1 Edward St Barraba 2347",-30.3826205,150.6103878,"1 edward st, barraba nsw 2347, australia"
"NSW","Batemans Bay","1183N2010","0010640W",113,"Southern NSW","7 Pacific                                       St","Batemans Bay                                           2536",1,"Inner Regional",35,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","7 Pacific St Batemans Bay 2536",-35.7137855,150.1821776,"7 pacific st, batemans bay nsw 2536, australia"
"NSW","Bathurst","1185L2010","0010650T",112,"Western NSW","361 Howick                                        St","Bathurst                                               2795",1,"Inner Regional",112.8,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","361 Howick St Bathurst 2795",-33.4061851,149.5722696,"361 howick st, west bathurst nsw 2795, australia"
"NSW","Batlow/Adelong (MPS)","1184R2020","0010660L",114,"Murrumbidgee","61 Pioneer                                       St","Batlow                                                 2730",2,"Outer Regional",24,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","61 Pioneer St Batlow 2730",-35.5212601,148.1473227,"61 pioneer st, batlow nsw 2730, australia"
"NSW","Bega","1183N2020","0010670K",113,"Southern NSW","1 McKee                                         Dr","Bega                                                   2550",2,"Outer Regional",90,"M","Public acute group B","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","1 McKee Dr Bega 2550",-36.6806346,149.8375131,"bega hospital, 1 mckee dr, bega nsw 2550, australia"
"NSW","Bellinger River","1182H2030","0010680J",110,"Mid North Coast","43 Church                                        St","Bellingen                                              2454",2,"Outer Regional",39.2,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Block-funded hospital","43 Church St Bellingen 2454",-30.456627,152.8946898,"43 church st, bellingen nsw 2454, australia"
"NSW","Belmont","1180Q2140","0012550B",109,"Hunter New England","16 Croudace Bay                                  Rd","Belmont                                                2280",0,"Major Cities",117.9,"M","Public acute group B","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","16 Croudace Bay Rd Belmont 2280",-33.0247504,151.6483475,"belmont hospital, 16 croudace bay rd, belmont nsw 2280, australia"
"NSW","Berrigan (MPS)","1184M2040","0010700Y",114,"Murrumbidgee","137 Memorial Place","Berrigan                                               2712",2,"Outer Regional",14,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","137 Memorial Place Berrigan 2712",-35.661729,145.8133897,"memorial pl, berrigan nsw 2712, australia"
"NSW","Bingara (MPS)","1180J2030","0010710X",109,"Hunter New England","1 Keera                                         St","Bingara                                                2404",2,"Outer Regional",20.8,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","1 Keera St Bingara 2404",-29.8643755,150.5717958,"1 keera st, bingara nsw 2404, australia"
"NSW","Blacktown","1174D2030","0012490Y",104,"Western Sydney","44 Blacktown                                     Rd","Blacktown                                              2148",0,"Major Cities",415.1,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","44 Blacktown Rd Blacktown 2148",-33.7754219,150.9190286,"44 blacktown rd, blacktown nsw 2148, australia"
"NSW","Blayney (MPS)","1185L2020","0010720W",112,"Western NSW","3 Osman                                         St","Blayney                                                2799",1,"Inner Regional",25.2,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","3 Osman St Blayney 2799",-33.5377015,149.2506995,"3 osman st, blayney nsw 2799, australia"
"NSW","Blue Mountains","1175D2040","0010730T",105,"Nepean Blue Mountains","Lot 3 Woodlands                                     Rd","Katoomba                                               2780",0,"Major Cities",91.1,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","Lot 3 Woodlands Rd Katoomba 2780",-33.7034362,150.3212707,"3 woodlands rd, katoomba nsw 2780, australia"
"NSW","Boggabri (MPS)","1180J2040","0010740L",109,"Hunter New England","3 Wee Waa                                       St","Boggabri                                               2382",2,"Outer Regional",20,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","3 Wee Waa St Boggabri 2382",-30.7122771,150.0415301,"3 wee waa st, boggabri nsw 2382, australia"
"NSW","Bombala (MPS)","1183N2030","0010750K",113,"Southern NSW","126 Wellington                                    St","Bombala                                                2632",2,"Outer Regional",18,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","126 Wellington St Bombala 2632",-36.9176232,149.2358764,"126 wellington st, bombala nsw 2632, australia"
"NSW","Bonalbo","1181H2070","0010760J",111,"Northern NSW","1 Hospital                                      Rd","Bonalbo                                                2469",2,"Outer Regional",0,"S2","Public acute group D","Yes","Yes","No","No","Yes","Block-funded hospital","1 Hospital Rd Bonalbo 2469",-28.733982,152.622409,"1 hospital rd, bonalbo nsw 2469, australia"
"NSW","Boorowa (MPS)","1184N2040","0010770H",114,"Murrumbidgee","62 Dry                                           St","Boorowa                                                2586",1,"Inner Regional",18,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","62 Dry St Boorowa 2586",-34.4431287,148.7270754,"62 dry st, boorowa nsw 2586, australia"
"NSW","Bourke (MPS)","1185K2010","0010780F",112,"Western NSW","26 Tarcoon                                       St","Bourke                                                 2840",4,"Very remote",32.1,"S2","Public acute group D","Yes","Yes","Yes","Yes","Yes","Block-funded hospital","26 Tarcoon St Bourke 2840",-30.0927312,145.9480627,"nurses home, 26 tarcoon st, bourke nsw 2840, australia"
"NSW","Bourke Street Health Service","1183N2160","0012020H",113,"Southern NSW","234 Bourke                                        St","Goulburn                                               2580",1,"Inner Regional",42.6,"N1","Mixed subacute and non-acute","Yes","Yes","No","No","Yes","Activity-based funded hospital","234 Bourke St Goulburn 2580",-34.7488435,149.7194778,"234 bourke st, goulburn nsw 2580, australia"
"NSW","Bowral","1171N2190","0010690H",103,"South Western Sydney","Lot 3 Mona                                          Rd","Bowral                                                 2576",1,"Inner Regional",71,"M","Public acute group B","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","Lot 3 Mona Rd Bowral 2576",-34.4848676,150.4246533,"3 mona rd, bowral nsw 2576, australia"
"NSW","Braeside","1171D2280","0012830W",103,"South Western Sydney","340 Prairie Vale                                  Rd","Prairiewood                                            2176",0,"Major Cities",71,"N1","Mixed subacute and non-acute","Yes","Yes","No","No","Yes","Activity-based funded hospital","340 Prairie Vale Rd Prairiewood 2176",-33.8619022,150.9027797,"340 prairie vale rd, prairiewood nsw 2176, australia"
"NSW","Braidwood (MPS)","1183N2050","0010790B",113,"Southern NSW","77 Monkittee                                     St","Braidwood                                              2622",1,"Inner Regional",30.6,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","77 Monkittee St Braidwood 2622",-35.4426196,149.8049916,"77 monkittee st, braidwood nsw 2622, australia"
"NSW","Brewarrina (MPS)","1185K2020","0010820L",112,"Western NSW","56 Doyle                                         St","Brewarrina                                             2839",4,"Very remote",20,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","56 Doyle St Brewarrina 2839",-29.9620009,146.8640785,"56 doyle st, brewarrina nsw 2839, australia"
"NSW","Broken Hill","1186S2010","0010830K",115,"Far West","176 Thomas                                        St","Broken Hill                                            2880",2,"Outer Regional",121.2,"M","Public acute group B","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","176 Thomas St Broken Hill 2880",-31.9482199,141.4546683,"176 thomas st, broken hill nsw 2880, australia"
"NSW","Bulahdelah - Myall Lakes","1180J2230","0010840J",109,"Hunter New England","1 Richmond                                      St","Bulahdelah                                             2423",1,"Inner Regional",0,"VS","Very small","Yes","No","Yes","No","Yes","Block-funded hospital","1 Richmond St Bulahdelah 2423",-32.4039474,152.2118348,"1 richmond st, bulahdelah nsw 2423, australia"
"NSW","Bulli","1173P2020","0010850H",108,"Illawarra Shoalhaven","33A Hospital                                      Rd","Bulli                                                  2516",0,"Major Cities",52.7,"S1","Public acute group C","Yes","Yes","Yes","No","Yes","Block-funded hospital","33A Hospital Rd Bulli 2516",-34.3361781,150.906459,"33a hospital rd, bulli nsw 2516, australia"
"NSW","Byron Central Hospital","1163G8080","0012900X",111,"Northern NSW","54 Ewingsdale                                    Rd","Byron Bay                                              2481",1,"Inner Regional",33.2,"S1","Public acute group C","Yes","No","No","No","No","Block-funded hospital","54 Ewingsdale Rd Byron Bay 2481",-28.6369806,153.5585787,"54 ewingsdale rd, ewingsdale nsw 2481, australia"
"NSW","Calvary","1172C2020","0012520J",101,"South Eastern Sydney","91 Rocky Point                                   Rd","Kogarah                                                2217",0,"Major Cities",109,"N2","Rehabilitation and GEM","Yes","Yes","No","No","Yes","Activity-based funded hospital","91 Rocky Point Rd Kogarah 2217",-33.9756807,151.1357516,"91 rocky point rd, beverley park nsw 2217, australia"
"NSW","Calvary Mater Newcastle","1180Q2110","0011870W",109,"Hunter New England","4 Edith                                         St","Waratah                                                2298",0,"Major Cities",186.2,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","4 Edith St Waratah 2298",-32.8985818,151.7214715,"4 edith st, waratah nsw 2298, australia"
"NSW","Camden","1171D2050","0010870B",103,"South Western Sydney","65 Menangle                                      Rd","Camden                                                 2570",0,"Major Cities",56.6,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Activity-based funded hospital","65 Menangle Rd Camden 2570",-34.0626779,150.694089,"65 menangle rd, camden nsw 2570, australia"
"NSW","Campbell Coraki","1181H2050","0010880A",111,"Northern NSW","1 Spring                                        St","Coraki                                                 2471",1,"Inner Regional",0,"VS","Very small","Yes","No","No","No","Yes","Block-funded hospital","1 Spring St Coraki 2471",-28.9932618,153.2768353,"spring st, coraki nsw 2471, australia"
"NSW","Campbelltown","1171D2150","0012750W",103,"South Western Sydney","1 Therry                                        Rd","Campbelltown                                           2560",0,"Major Cities",411.3,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","1 Therry Rd Campbelltown 2560",-34.0799787,150.8028119,"therry rd, campbelltown nsw 2560, australia"
"NSW","Canowindra","1185L2030","0010890Y",112,"Western NSW","1 Browns                                        Ave","Canowindra                                             2804",1,"Inner Regional",10.2,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","1 Browns Ave Canowindra 2804",-33.5575559,148.6724924,"browns ave, canowindra nsw 2804, australia"
"NSW","Canterbury","1170A2020","0010090J",102,"Sydney","575 Canterbury                                    Rd","Campsie                                                2194",0,"Major Cities",169.7,"M","Public acute group B","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","575 Canterbury Rd Campsie 2194",-33.9194418,151.0983962,"575 canterbury rd, campsie nsw 2194, australia"
"NSW","Casino","1181H2060","0010920J",111,"Northern NSW","1 Hotham                                        St","Casino                                                 2470",1,"Inner Regional",26,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","1 Hotham St Casino 2470",-28.8697668,153.0349028,"1 hotham st, casino nsw 2470, australia"
"NSW","Cessnock","1180Q2020","0010940F",109,"Hunter New England","Lot 1 View                                          St","Cessnock                                               2325",1,"Inner Regional",48.5,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","Lot 1 View St Cessnock 2325",-32.8274118,151.35153,"1 view st, cessnock nsw 2325, australia"
"NSW","Children's Hospital Westmead","1163A2070","0010300T",117,"Sydney Children's Hospitals Network","178 Hawkesbury                                    Rd","Westmead                                               2145",0,"Major Cities",278.6,"W3","Childrens","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","178 Hawkesbury Rd Westmead 2145",-33.800917,150.9927247,"178 hawkesbury rd, westmead nsw 2145, australia"
"NSW","Cobar","1185K2030","0010950B",112,"Western NSW","1 Lerida                                        Rd","Cobar                                                  2835",3,"Remote",10,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","1 Lerida Rd Cobar 2835",-31.5167198,145.8195175,"1 lerida rd, cobar nsw 2835, australia"
"NSW","Coffs Harbour","1182H2080","0010960A",110,"Mid North Coast","345 Pacific                                       Hwy","Coffs Harbour                                          2450",1,"Inner Regional",268.9,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","345 Pacific Hwy Coffs Harbour 2450",-30.3179835,153.0940034,"coffs harbour hospital, 345 pacific hwy, coffs harbour nsw 2450, australia"
"NSW","Coledale","1173P2030","0010970Y",108,"Illawarra Shoalhaven","636 Lawrence Hargrave                             Dr","Coledale                                               2515",0,"Major Cities",38,"N1","Mixed subacute and non-acute","Yes","Yes","No","No","Yes","Activity-based funded hospital","636 Lawrence Hargrave Dr Coledale 2515",-34.2828657,150.9521411,"636 lawrence hargrave dr, wombarra nsw 2515, australia"
"NSW","Collarenebri (MPS)","1185K2040","0010980X",112,"Western NSW","1 Walgett                                       St","Collarenebri                                           2833",3,"Remote",13,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","1 Walgett St Collarenebri 2833",-29.5464258,148.5745151,"1 walgett st, collarenebri nsw 2833, australia"
"NSW","Concord","1170A2370","0012720A",102,"Sydney","1a Hospital                                      Rd","Concord West                                           2139",0,"Major Cities",678.7,"PR","Principal referral","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","1a Hospital Rd Concord West 2139",-33.8326691,151.0969253,"repatriation general hospital, 1a hospital rd, concord west nsw 2138, australia"
"NSW","Condobolin","1185L2050","0010990W",112,"Western NSW","1 Madline                                       St","Condobolin                                             2877",2,"Outer Regional",22,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","1 Madline St Condobolin 2877",-33.0815482,147.1526065,"railway cottage, 1 madline st, condobolin nsw 2877, australia"
"NSW","Coolah (MPS)","1185K2050","0011000X",112,"Western NSW","111 Martin                                        St","Coolah                                                 2843",2,"Outer Regional",26.9,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","111 Martin St Coolah 2843",-31.821536,149.7099919,"111 martin st, coolah nsw 2843, australia"
"NSW","Coolamon (MPS)","1184R2100","0011520W",114,"Murrumbidgee","1 Buchanan                                      Dr","Coolamon                                               2701",1,"Inner Regional",14.1,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","1 Buchanan Dr Coolamon 2701",-34.8201496,147.199044,"1 dr buchanan dr, coolamon nsw 2701, australia"
"NSW","Cooma HS","1183N2060","0011010W",113,"Southern NSW","1 Bent                                          St","Cooma                                                  2630",1,"Inner Regional",35.7,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","1 Bent St Cooma 2630",-36.2417381,149.1288953,"1 bent st, cooma nsw 2630, australia"
"NSW","Coonabarabran","1185K2060","0011020T",112,"Western NSW","101 Edwards                                       St","Coonabarabran                                          2357",2,"Outer Regional",16.6,"S2","Public acute group D","Yes","Yes","Yes","Yes","Yes","Block-funded hospital","101 Edwards St Coonabarabran 2357",-31.2745919,149.2843628,"nurses quarters, 101 edwards st, coonabarabran nsw 2357, australia"
"NSW","Coonamble (MPS)","1185K2090","0011050J",112,"Western NSW","150 Castlereagh                                   St","Coonamble                                              2829",3,"Remote",22.9,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","150 Castlereagh St Coonamble 2829",-30.9645327,148.3878245,"150 castlereagh st, coonamble nsw 2829, australia"
"NSW","Cootamundra","1184R2210","0011070F",114,"Murrumbidgee","120 MacKay                                        St","Cootamundra                                            2590",1,"Inner Regional",24.5,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Block-funded hospital","120 MacKay St Cootamundra 2590",-34.635333,148.0139496,"120 mackay st, cootamundra nsw 2590, australia"
"NSW","Coral Tree Family Centre","1476B2410","",106,"Northern Sydney","Pacific                                       Hwy","North Ryde                                             2113",0,"Major Cities",10.1,"Ps","Psychiatric","Yes","Yes","No","No","No","Block-funded hospital","Pacific Hwy North Ryde 2113",-33.7967571,151.1243821,"north ryde nsw 2113, australia"
"NSW","Corowa (MPS)","1184M2060","0011080B",114,"Murrumbidgee","53 Guy                                           St","Corowa                                                 2646",1,"Inner Regional",50.5,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Block-funded hospital","53 Guy St Corowa 2646",-35.9935979,146.3834193,"53 guy st, corowa nsw 2646, australia"
"NSW","Cowra","1185L2060","0011090A",112,"Western NSW","64 Liverpool                                     St","Cowra                                                  2794",1,"Inner Regional",37.6,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","64 Liverpool St Cowra 2794",-33.8324218,148.6922616,"64 liverpool st, cowra nsw 2794, australia"
"NSW","Crookwell","1183N2070","0011100T",113,"Southern NSW","17 Kialla                                        Rd","Crookwell                                              2583",1,"Inner Regional",18,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","17 Kialla Rd Crookwell 2583",-34.4650256,149.4679976,"17 kialla rd, crookwell nsw 2583, australia"
"NSW","Culcairn (MPS)","1184M2050","0011120K",114,"Murrumbidgee","51 Balfour                                       St","Culcairn                                               2660",1,"Inner Regional",27,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","51 Balfour St Culcairn 2660",-35.6673938,147.0418402,"51 balfour st, culcairn nsw 2660, australia"
"NSW","Cumberland","1474D1020","0012880H",104,"Western Sydney","1 Hainsworth                                    St","Westmead                                               2145",0,"Major Cities",310,"Ps","Psychiatric","Yes","Yes","No","No","Yes","Activity-based funded hospital","1 Hainsworth St Westmead 2145",-33.8028228,150.9961849,"1 hainsworth st, westmead nsw 2145, australia"
"NSW","David Berry","1173P2910","0011130J",108,"Illawarra Shoalhaven","85 Tannery                                       Rd","Berry                                                  2535",1,"Inner Regional",26,"N1","Mixed subacute and non-acute","Yes","Yes","No","No","Yes","Activity-based funded hospital","85 Tannery Rd Berry 2535",-34.7756854,150.7134934,"85 tannery rd, berry nsw 2535, australia"
"NSW","Delegate (MPS)","1183N2080","0011140H",113,"Southern NSW","15 Craigie                                       St","Delegate                                               2633",2,"Outer Regional",13.1,"VS","Very small","Yes","No","Yes","No","Yes","Block-funded hospital","15 Craigie St Delegate 2633",-37.0449913,148.9456734,"15 craigie st, delegate nsw 2633, australia"
"NSW","Deniliquin","1184M2070","0011150F",114,"Murrumbidgee","411 Charlotte                                     St","Deniliquin                                             2710",1,"Inner Regional",35.1,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","411 Charlotte St Deniliquin 2710",-35.5241858,144.9632191,"411 charlotte st, deniliquin nsw 2710, australia"
"NSW","Denman (MPS)","1180Q2100","0010810T",109,"Hunter New England","51 Ogilvie                                       St","Denman                                                 2328",1,"Inner Regional",17,"VS","Very small","Yes","No","Yes","No","Yes","Block-funded hospital","51 Ogilvie St Denman 2328",-32.3891651,150.6848382,"51 ogilvie st, denman nsw 2328, australia"
"NSW","Dorrigo (MPS)","1182H2090","0011160B",110,"Mid North Coast","14 Beech                                         St","Dorrigo                                                2453",2,"Outer Regional",26.9,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","14 Beech St Dorrigo 2453",-30.3407936,152.7138117,"dorrigo hospital, 14 beech st, dorrigo nsw 2453, australia"
"NSW","Dubbo","1185K2110","0011170A",112,"Western NSW","1 Myall                                         St","Dubbo                                                  2830",1,"Inner Regional",160.5,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","1 Myall St Dubbo 2830",-32.2412586,148.6158553,"registrar flats, 1 myall st, dubbo nsw 2830, australia"
"NSW","Dunedoo (MPS)","1185K2120","0011180Y",112,"Western NSW","70 Digilah                                       St","Dunedoo                                                2844",2,"Outer Regional",29.9,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","70 Digilah St Dunedoo 2844",-32.0182851,149.3922371,"70 digilah st, dunedoo nsw 2844, australia"
"NSW","Dungog","1180Q2030","0011190X",109,"Hunter New England","58 Hospital                                      Rd","Dungog                                                 2420",1,"Inner Regional",15,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","58 Hospital Rd Dungog 2420",-32.4013793,151.7457781,"58 hospital rd, dungog nsw 2420, australia"
"NSW","Eugowra (MPS)","1185L2080","0011200K",112,"Western NSW","1 Cooper                                        St","Eugowra                                                2806",2,"Outer Regional",14,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","1 Cooper St Eugowra 2806",-33.424451,148.365419,"1 cooper st, eugowra nsw 2806, australia"
"NSW","Fairfield","1171D2060","0010110Y",103,"South Western Sydney","360 Prairie Vale                                  Rd","Prairiewood                                            2176",0,"Major Cities",199.9,"M","Public acute group B","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","360 Prairie Vale Rd Prairiewood 2176",-33.8591255,150.9033654,"360 prairie vale rd, prairiewood nsw 2176, australia"
"NSW","Finley","1184M2080","0011210J",114,"Murrumbidgee","24 Dawe                                          Ave","Finley                                                 2713",1,"Inner Regional",15.6,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","24 Dawe Ave Finley 2713",-35.6416846,145.568053,"finley hospital, 24 dawe ave, finley nsw 2713, australia"
"NSW","Forbes","1185L2090","0011220H",112,"Western NSW","Lot 1 Elgin                                         St","Forbes                                                 2871",2,"Outer Regional",29.2,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","Lot 1 Elgin St Forbes 2871",-33.3963075,148.0135494,"1 elgin st, forbes nsw 2871, australia"
"NSW","Gilgandra (MPS)","1185K2130","0011230F",112,"Western NSW","6 Chelmsford                                    Ave","Gilgandra                                              2827",2,"Outer Regional",31,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","6 Chelmsford Ave Gilgandra 2827",-31.7045882,148.6647352,"6 chelmsford ave, gilgandra nsw 2827, australia"
"NSW","Glen Innes","1180J2050","0011240B",109,"Hunter New England","94 Taylor                                        St","Glen Innes                                             2370",2,"Outer Regional",31.3,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Block-funded hospital","94 Taylor St Glen Innes 2370",-29.7333832,151.7317886,"94 taylor st, glen innes nsw 2370, australia"
"NSW","Gloucester","1180J2240","0011250A",109,"Hunter New England","166 Church                                        St","Gloucester                                             2422",1,"Inner Regional",81,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Block-funded hospital","166 Church St Gloucester 2422",-32.0148504,151.9583542,"166 church st, gloucester nsw 2422, australia"
"NSW","Goodooga","1185K2140","0011260Y",112,"Western NSW","49 Hammond                                       St","Goodooga                                               2831",4,"Very remote",0,"OT","Outpatient hospital","Yes","No","No","No","No","Block-funded hospital","49 Hammond St Goodooga 2831",-29.1109125,147.4556674,"49 hammond st, goodooga nsw 2838, australia"
"NSW","Gosford","1177B2020","0011270X",107,"Central Coast","76 Holden                                        St","Gosford                                                2250",0,"Major Cities",482,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","76 Holden St Gosford 2250",-33.4210722,151.3406334,"76 holden st, gosford nsw 2250, australia"
"NSW","Goulburn","1183N2090","0011280W",113,"Southern NSW","130 Goldsmith                                     St","Goulburn                                               2580",1,"Inner Regional",134.8,"M","Public acute group B","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","130 Goldsmith St Goulburn 2580",-34.7478556,149.7131679,"130 goldsmith st, goulburn nsw 2580, australia"
